Country,ISO-code,Fertility,Life expectancy,Population growth,Sex-ratio,Suicide rate,Urbanization rate,Median age,Year
Gibraltar,GIB,,,,1.01,,100,34.7,2020
Guernsey,GGY,,,,0.99,,31,43.8,2020
Jersey,JEY,,,,0.97,,31,38,2020
Montserrat,MSR,,,,1,,9.1,33.2,2020
Nauru,NRU,,,,0.88,,100,26.4,2020
Saint Barthelemy,BLM,,,,1.12,,,44.1,2020
"Saint Helena, Ascension and Tristan da Cunha",SHN,,,,1.01,,40.1,,2020
Saint Pierre and Miquelon,SPM,,,,0.94,,90,46.5,2020
Taiwan,TWN,,,,0.97,,78.9,40.7,2020
Wallis and Futuna,WLF,,,,1.04,,,32.2,2020
Western Sahara,ESH,,,,0.99,,86.8,21.1,2020
Niue,NIU,,,,,,46.2,,2020
British Virgin Islands,,,,,,,,36.5,2020
